franchID,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,yearID
Real Sociedad,15,38,14,3,21,49,66,-17,45,1.18,2011
Sevilla,5,38,17,7,14,62,61,1,58,1.53,2011
Sporting de Gijón,10,38,11,14,13,35,42,-7,47,1.24,2011
Valencia,3,38,21,8,9,64,44,20,71,1.87,2011
Villarreal,4,38,18,8,12,54,44,10,62,1.63,2011
Zaragoza,13,38,12,9,17,40,53,-13,45,1.18,2011
Athletic Club,10,38,12,13,13,49,52,-3,49,1.29,2012
Atlético Madrid,5,38,15,11,12,53,46,7,56,1.47,2012
Barcelona,2,38,28,7,3,114,29,85,91,2.39,2012
Espanyol,14,38,12,10,16,46,56,-10,46,1.21,2012
Getafe,11,38,12,11,15,40,51,-11,47,1.24,2012
Granada,17,38,12,6,20,35,56,-21,42,1.11,2012
Levante,6,38,16,7,15,54,50,4,55,1.45,2012
Málaga,4,38,17,7,14,54,53,1,58,1.53,2012
Mallorca,8,38,14,10,14,42,46,-4,52,1.37,2012
Osasuna,7,38,13,15,10,44,61,-17,54,1.42,2012
Racing Sant,20,38,4,15,19,28,63,-35,27,0.71,2012
Rayo Vallecano,15,38,13,4,21,53,73,-20,43,1.13,2012
Real Betis,13,38,13,8,17,47,56,-9,47,1.24,2012
Real Madrid,1,38,32,4,2,121,32,89,100,2.63,2012
Real Sociedad,12,38,12,11,15,46,52,-6,47,1.24,2012
Sevilla,9,38,13,11,14,48,47,1,50,1.32,2012
Sporting de Gijón,19,38,10,7,21,42,69,-27,37,0.97,2012
Valencia,3,38,17,10,11,59,44,15,61,1.61,2012
Villarreal,18,38,9,14,15,39,53,-14,41,1.08,2012
Zaragoza,16,38,12,7,19,36,61,-25,43,1.13,2012
Athletic Club,12,38,12,9,17,44,65,-21,45,1.18,2013
Atlético Madrid,3,38,23,7,8,65,31,34,76,2,2013
Barcelona,1,38,32,4,2,115,40,75,100,2.63,2013
Celta Vigo,17,38,10,7,21,37,52,-15,37,0.97,2013
Espanyol,13,38,11,11,16,43,52,-9,44,1.16,2013
Getafe,10,38,13,8,17,43,57,-14,47,1.24,2013
Granada,15,38,11,9,18,37,54,-17,42,1.11,2013
La Coruña,19,38,8,11,19,47,70,-23,35,0.92,2013
Levante,11,38,12,10,16,40,57,-17,46,1.21,2013
Málaga,6,38,16,9,13,53,50,3,57,1.5,2013
Mallorca,18,38,9,9,20,43,72,-29,36,0.95,2013
Osasuna,16,38,10,9,19,33,50,-17,39,1.03,2013
Rayo Vallecano,8,38,16,5,17,50,66,-16,53,1.39,2013
Real Betis,7,38,16,8,14,57,56,1,56,1.47,2013
Real Madrid,2,38,26,7,5,103,42,61,85,2.24,2013
Real Sociedad,4,38,18,12,8,70,49,21,66,1.74,2013
Sevilla,9,38,14,8,16,58,54,4,50,1.32,2013
Valencia,5,38,19,8,11,67,54,13,65,1.71,2013
Valladolid,14,38,11,10,17,49,58,-9,43,1.13,2013
Zaragoza,20,38,9,7,22,37,62,-25,34,0.89,2013
Almería,17,38,11,7,20,43,71,-28,40,1.05,2014
Athletic Club,4,38,20,10,8,66,39,27,70,1.84,2014
Atlético Madrid,1,38,28,6,4,77,26,51,90,2.37,2014
Barcelona,2,38,27,6,5,100,33,67,87,2.29,2014
Celta Vigo,9,38,14,7,17,49,54,-5,49,1.29,2014
Elche,16,38,9,13,16,30,50,-20,40,1.05,2014
Espanyol,14,38,11,9,18,41,51,-10,42,1.11,2014
Getafe,13,38,11,9,18,35,54,-19,42,1.11,2014
Granada,15,38,12,5,21,32,56,-24,41,1.08,2014
Levante,10,38,12,12,14,35,43,-8,48,1.26,2014
Málaga,11,38,12,9,17,39,46,-7,45,1.18,2014
Osasuna,18,38,10,9,19,32,62,-30,39,1.03,2014
Rayo Vallecano,12,38,13,4,21,46,80,-34,43,1.13,2014
Real Betis,20,38,6,7,25,36,78,-42,25,0.66,2014
Real Madrid,3,38,27,6,5,104,38,66,87,2.29,2014
Real Sociedad,7,38,16,11,11,62,55,7,59,1.55,2014
Sevilla,5,38,18,9,11,69,52,17,63,1.66,2014
Valencia,8,38,13,10,15,51,53,-2,49,1.29,2014
Valladolid,19,38,7,15,16,38,60,-22,36,0.95,2014
Villarreal,6,38,17,8,13,60,44,16,59,1.55,2014
Almería,19,38,8,8,22,35,64,-29,29,0.76,2015
Athletic Club,7,38,15,10,13,42,41,1,55,1.45,2015
Atlético Madrid,3,38,23,9,6,67,29,38,78,2.05,2015
Barcelona,1,38,30,4,4,110,21,89,94,2.47,2015
Celta Vigo,8,38,13,12,13,47,44,3,51,1.34,2015
Córdoba ,20,38,3,11,24,22,68,-46,20,0.53,2015
Eibar,18,38,9,8,21,34,55,-21,35,0.92,2015
Elche,13,38,11,8,19,35,62,-27,41,1.08,2015
Espanyol,10,38,13,10,15,47,51,-4,49,1.29,2015
Getafe,15,38,10,7,21,33,64,-31,37,0.97,2015
Granada,17,38,7,14,17,29,64,-35,35,0.92,2015
La Coruña,16,38,7,14,17,35,60,-25,35,0.92,2015
Levante,14,38,9,10,19,34,67,-33,37,0.97,2015
Málaga,9,38,14,8,16,42,48,-6,50,1.32,2015
Rayo Vallecano,11,38,15,4,19,46,68,-22,49,1.29,2015
Real Madrid,2,38,30,2,6,118,38,80,92,2.42,2015
Real Sociedad,12,38,11,13,14,44,51,-7,46,1.21,2015
Sevilla,5,38,23,7,8,71,45,26,76,2,2015
Valencia,4,38,22,11,5,70,32,38,77,2.03,2015
Villarreal,6,38,16,12,10,48,37,11,60,1.58,2015
Athletic Club,5,38,18,8,12,58,45,13,62,1.63,2016
Atlético Madrid,3,38,28,4,6,63,18,45,88,2.32,2016
Barcelona,1,38,29,4,5,112,29,83,91,2.39,2016
Celta Vigo,6,38,17,9,12,51,59,-8,60,1.58,2016
Eibar,14,38,11,10,17,49,61,-12,43,1.13,2016
Espanyol,13,38,12,7,19,40,74,-34,43,1.13,2016
Getafe,19,38,9,9,20,37,67,-30,36,0.95,2016
Granada,16,38,10,9,19,46,69,-23,39,1.03,2016
La Coruña,15,38,8,18,12,45,61,-16,42,1.11,2016
Las Palmas,11,38,12,8,18,45,53,-8,44,1.16,2016
Levante,20,38,8,8,22,37,70,-33,32,0.84,2016
Málaga,8,38,12,12,14,38,35,3,48,1.26,2016
Rayo Vallecano,18,38,9,11,18,52,73,-21,38,1,2016
Real Betis,10,38,11,12,15,34,52,-18,45,1.18,2016
Real Madrid,2,38,28,6,4,110,34,76,90,2.37,2016
Real Sociedad,9,38,13,9,16,45,48,-3,48,1.26,2016
Sevilla,7,38,14,10,14,51,50,1,52,1.37,2016
Sporting de Gijón,17,38,10,9,19,40,62,-22,39,1.03,2016
Valencia,12,38,11,11,16,46,48,-2,44,1.16,2016
Villarreal,4,38,18,10,10,44,35,9,64,1.68,2016
Alavés,9,38,14,13,11,41,43,-2,55,1.45,2017
Athletic Club,7,38,19,6,13,53,43,10,63,1.66,2017
Atlético Madrid,3,38,23,9,6,70,27,43,78,2.05,2017
Barcelona,2,38,28,6,4,116,37,79,90,2.37,2017
Celta Vigo,13,38,13,6,19,53,69,-16,45,1.18,2017
