yearID,lgID,tmID,franchID,name,confID,divID,playoff,G,W,L,T,OTL
1995,NHL,FLO,FLO,Florida Panthers,EC,AT,F,82,41,31,10,
1995,NHL,HAR,CAR,Hartford Whalers,EC,NE,,82,34,39,9,
1995,NHL,LAK,LAK,Los Angeles Kings,WC,PC,,82,24,40,18,
1995,NHL,MTL,MTL,Montreal Canadiens,EC,NE,CQF,82,40,32,10,
1995,NHL,NJD,NJD,New Jersey Devils,EC,AT,,82,37,33,12,
1995,NHL,NYI,NYI,New York Islanders,EC,AT,,82,22,50,10,
1995,NHL,NYR,NYR,New York Rangers,EC,AT,CSF,82,41,27,14,
1995,NHL,OTT,OTT,Ottawa Senators,EC,NE,,82,18,59,5,
1995,NHL,PHI,PHI,Philadelphia Flyers,EC,AT,CSF,82,45,24,13,
1995,NHL,PIT,PIT,Pittsburgh Penguins,EC,NE,CF,82,49,29,4,
1995,NHL,SJS,SJS,San Jose Sharks,WC,PC,,82,20,55,7,
1995,NHL,STL,STL,St. Louis Blues,WC,CE,CSF,82,32,34,16,
1995,NHL,TBL,TBL,Tampa Bay Lightning,EC,AT,CQF,82,38,32,12,
1995,NHL,TOR,TOR,Toronto Maple Leafs,WC,CE,CQF,82,34,36,12,
1995,NHL,VAN,VAN,Vancouver Canucks,WC,PC,CQF,82,32,35,15,
1995,NHL,WAS,WAS,Washington Capitals,EC,AT,CQF,82,39,32,11,
1995,NHL,WIN,PHO,Winnipeg Jets,WC,CE,CQF,82,36,40,6,
1996,NHL,ANA,ANA,Mighty Ducks of Anaheim,WC,PC,CSF,82,36,33,13,
1996,NHL,BOS,BOS,Boston Bruins,EC,NE,,82,26,47,9,
1996,NHL,BUF,BUF,Buffalo Sabres,EC,NE,CSF,82,40,30,12,
1996,NHL,CAL,CAL,Calgary Flames,WC,PC,,82,32,41,9,
1996,NHL,CHI,CHI,Chicago Blackhawks,WC,CE,CQF,82,34,35,13,
1996,NHL,COL,COL,Colorado Avalanche,WC,PC,CF,82,49,24,9,
1996,NHL,DAL,DAL,Dallas Stars,WC,CE,CQF,82,48,26,8,
1996,NHL,DET,DET,Detroit Red Wings,WC,CE,SC,82,38,26,18,
1996,NHL,EDM,EDM,Edmonton Oilers,WC,PC,CSF,82,36,37,9,
1996,NHL,FLO,FLO,Florida Panthers,EC,AT,CQF,82,35,28,19,
1996,NHL,HAR,CAR,Hartford Whalers,EC,NE,,82,32,39,11,
1996,NHL,LAK,LAK,Los Angeles Kings,WC,PC,,82,28,43,11,
1996,NHL,MTL,MTL,Montreal Canadiens,EC,NE,CQF,82,31,36,15,
1996,NHL,NJD,NJD,New Jersey Devils,EC,AT,CSF,82,45,23,14,
1996,NHL,NYI,NYI,New York Islanders,EC,AT,,82,29,41,12,
1996,NHL,NYR,NYR,New York Rangers,EC,AT,CF,82,38,34,10,
1996,NHL,OTT,OTT,Ottawa Senators,EC,NE,CQF,82,31,36,15,
1996,NHL,PHI,PHI,Philadelphia Flyers,EC,AT,F,82,45,24,13,
1996,NHL,PHO,PHO,Phoenix Coyotes,WC,CE,CQF,82,38,37,7,
1996,NHL,PIT,PIT,Pittsburgh Penguins,EC,NE,CQF,82,38,36,8,
1996,NHL,SJS,SJS,San Jose Sharks,WC,PC,,82,27,47,8,
1996,NHL,STL,STL,St. Louis Blues,WC,CE,CQF,82,36,35,11,
1996,NHL,TBL,TBL,Tampa Bay Lightning,EC,AT,,82,32,40,10,
1996,NHL,TOR,TOR,Toronto Maple Leafs,WC,CE,,82,30,44,8,
1996,NHL,VAN,VAN,Vancouver Canucks,WC,PC,,82,35,40,7,
1996,NHL,WAS,WAS,Washington Capitals,EC,AT,,82,33,40,9,
1997,NHL,ANA,ANA,Mighty Ducks of Anaheim,WC,PC,,82,26,43,13,
1997,NHL,BOS,BOS,Boston Bruins,EC,NE,CQF,82,39,30,13,
1997,NHL,BUF,BUF,Buffalo Sabres,EC,NE,CF,82,36,29,17,
1997,NHL,CAL,CAL,Calgary Flames,WC,PC,,82,26,41,15,
1997,NHL,CAR,CAR,Carolina Hurricanes,EC,NE,,82,33,41,8,
1997,NHL,CHI,CHI,Chicago Blackhawks,WC,CE,,82,30,39,13,
1997,NHL,COL,COL,Colorado Avalanche,WC,PC,CQF,82,39,26,17,
1997,NHL,DAL,DAL,Dallas Stars,WC,CE,CF,82,49,22,11,
1997,NHL,DET,DET,Detroit Red Wings,WC,CE,SC,82,44,23,15,
1997,NHL,EDM,EDM,Edmonton Oilers,WC,PC,CSF,82,35,37,10,
1997,NHL,FLO,FLO,Florida Panthers,EC,AT,,82,24,43,15,
1997,NHL,LAK,LAK,Los Angeles Kings,WC,PC,CQF,82,38,33,11,
1997,NHL,MTL,MTL,Montreal Canadiens,EC,NE,CSF,82,37,32,13,
1997,NHL,NJD,NJD,New Jersey Devils,EC,AT,CQF,82,48,23,11,
1997,NHL,NYI,NYI,New York Islanders,EC,AT,,82,30,41,11,
1997,NHL,NYR,NYR,New York Rangers,EC,AT,,82,25,39,18,
1997,NHL,OTT,OTT,Ottawa Senators,EC,NE,CSF,82,34,33,15,
1997,NHL,PHI,PHI,Philadelphia Flyers,EC,AT,CQF,82,42,29,11,
1997,NHL,PHO,PHO,Phoenix Coyotes,WC,CE,CQF,82,35,35,12,
1997,NHL,PIT,PIT,Pittsburgh Penguins,EC,NE,CQF,82,40,24,18,
1997,NHL,SJS,SJS,San Jose Sharks,WC,PC,CQF,82,34,38,10,
1997,NHL,STL,STL,St. Louis Blues,WC,CE,CSF,82,45,29,8,
1997,NHL,TBL,TBL,Tampa Bay Lightning,EC,AT,,82,17,55,10,
1997,NHL,TOR,TOR,Toronto Maple Leafs,WC,CE,,82,30,43,9,
1997,NHL,VAN,VAN,Vancouver Canucks,WC,PC,,82,25,43,14,
1997,NHL,WAS,WAS,Washington Capitals,EC,AT,F,82,40,30,12,
1998,NHL,ANA,ANA,Mighty Ducks of Anaheim,WC,PC,CQF,82,35,34,13,
1998,NHL,BOS,BOS,Boston Bruins,EC,NE,CSF,82,39,30,13,
1998,NHL,BUF,BUF,Buffalo Sabres,EC,NE,F,82,37,28,17,
1998,NHL,CAL,CAL,Calgary Flames,WC,NW,,82,30,40,12,
1998,NHL,CAR,CAR,Carolina Hurricanes,EC,SE,CQF,82,34,30,18,
